,predicted_mean
2022-01-31,85.8968466365813
2022-02-28,86.35838451001547
2022-03-31,85.2945960402048
2022-04-30,89.18962847231916
2022-05-31,89.57534866950286
2022-06-30,92.960545046601
2022-07-31,92.41962721736786
2022-08-31,91.98979495901166
2022-09-30,92.72831870710047
2022-10-31,93.52881243926927
2022-11-30,94.64323538704993
2022-12-31,94.17429573916246
2023-01-31,96.49736859002137
2023-02-28,95.35545185971002
2023-03-31,94.55172988220025
2023-04-30,98.05294854167917
2023-05-31,97.51806034240637
2023-06-30,100.6548596867886
2023-07-31,99.50099907257838
2023-08-31,100.42171053497086
2023-09-30,100.58961498340557
2023-10-31,101.58133962761151
2023-11-30,101.08788235013314
2023-12-31,101.52290552116882
2024-01-31,104.21039482846192
2024-02-29,104.04960979750958
2024-03-31,103.02504078484944
2024-04-30,104.62607143028012
2024-05-31,105.64308525519358
2024-06-30,107.30235758040877
2024-07-31,109.05702714508234
2024-08-31,107.99843276307213
2024-09-30,107.92241672008093
2024-10-31,109.2475968029325
2024-11-30,109.28318854573644
2024-12-31,109.86705409416972
2025-01-31,111.56116362202421
2025-02-28,110.55276029934288
2025-03-31,109.739765496174
2025-04-30,112.95745448327195
2025-05-31,112.4390385171695
2025-06-30,115.52221950366655
2025-07-31,114.25250644897632
2025-08-31,115.02353632013256
2025-09-30,115.16568548574041
2025-10-31,115.98274275852766
2025-11-30,115.83658981099997
2025-12-31,115.90444789345692
2026-01-31,118.61269328536204
2026-02-28,118.29872302475617
2026-03-31,117.3568022197768
2026-04-30,119.10937251138824
2026-05-31,119.97715813991252
2026-06-30,121.74086563855134
2026-07-31,123.33462627984477
2026-08-31,122.61119638249791
2026-09-30,122.52197576490856
2026-10-31,123.94125461636484
2026-11-30,123.65493852200287
2026-12-31,124.50092495530674
2027-01-31,126.29913597048265
2027-02-28,125.52495129386249
2027-03-31,124.6642119059781
2027-04-30,127.5508364788582
2027-05-31,127.36245171431646
2027-06-30,130.18937799263097
2027-07-31,129.4788166292386
2027-08-31,129.8230687526127
2027-09-30,129.95328726762017
2027-10-31,130.81461521777877
2027-11-30,130.8874229635527
2027-12-31,130.910847219679
2028-01-31,133.43587508465882
2028-02-29,132.91765259626152
2028-03-31,132.04465399769845
2028-04-30,134.2041899613752
2028-05-31,134.7175384773392
2028-06-30,136.82883793377357
2028-07-31,137.73563906993863
2028-08-31,137.48254777266337
2028-09-30,137.45306987997913
2028-10-31,138.78675015452976
2028-11-30,138.41727473202124
2028-12-31,139.20378041104783
2029-01-31,141.25318762641143
2029-02-28,140.68060115307802
2029-03-31,139.7919613949967
2029-04-30,142.3123634501099
2029-05-31,142.4928886325644
2029-06-30,144.99720875455472
2029-07-31,145.01682179332983
2029-08-31,144.96878615132286
2029-09-30,145.05600164833726
2029-10-31,146.06467349458384
2029-11-30,146.15545097754188
2029-12-31,146.3482007562923
2030-01-31,148.65140002657586
2030-02-28,148.00488877600174
2030-03-31,147.170215414601
2030-04-30,149.65800946389749
2030-05-31,149.88641039274918
2030-06-30,152.29964537515403
2030-07-31,152.5902679276583
2030-08-31,152.6618054035012
2030-09-30,152.6989933226942
2030-10-31,153.9040414619249
2030-11-30,153.60595438365965
2030-12-31,154.2108100275312
2031-01-31,156.47128358714372
2031-02-28,155.99835017385323
2031-03-31,155.1099204097209
2031-04-30,157.41454008854643
2031-05-31,157.8214959548425
2031-06-30,160.12021994841913
2031-07-31,160.62997004180832
2031-08-31,160.38949915468157
2031-09-30,160.4419399062021
2031-10-31,161.58731771860369
2031-11-30,161.59268042748812
2031-12-31,161.98922588520483
